axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err,mc_over_data,mc_over_data_err
thrust,0_10,hV2TwoSub_2,0.07931824304,0.002961292663,0.08424499242,0.003369541042,0.9415187865,0.05151412154,1.062113698,0.05811233393
thrust,10_15,hV2TwoSub_2,0.09059783725,0.001528365759,0.09570295089,0.001231660286,0.9466566747,0.02008645245,1.056349178,0.02241394171
thrust,15_20,hV2TwoSub_2,0.1094530557,0.0009568248538,0.1121145404,0.001136599272,0.9762610217,0.01306863735,1.024316221,0.01371192429
thrust,20_25,hV2TwoSub_2,0.1105072989,0.001451103168,0.1157569436,0.001658479623,0.954649418,0.01855316513,1.04750496,0.02035776917
thrust,25_30,hV2TwoSub_2,0.1075902556,0.002715920337,0.1099618387,0.0029396214,0.9784326714,0.03597489664,1.022042731,0.03757834616
thrust,30_35,hV2TwoSub_2,0.09635398097,0.007717617002,0.1074113912,0.009354387907,0.8970555158,0.1061410561,1.114758209,0.1318999901
thrust,35_40,hV2TwoSub_2,0.1204837297,0.01855737524,0.05705894935,0.0541529744,2.111565865,2.03024447,0.4735821963,0.4553434259
thrust,40_999,hV2TwoSub_2,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0.1230778519,0.0451114772,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.1927728475,0.04677383045,0,0,0,0
thrust,35_40,hV2TwoSub_4,0.2444560792,0.03440672657,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2113206929,0.05624604436,0,0,0,0
thrust,15_20,hV2TwoSub_6,0.2163738242,0.0280278676,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_6,0,0,0.1959088556,0.09616352887,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_6,0,0,0.2779918564,0.09883396054,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0.3580855168,0.1551666948,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3785162363,0.02157453406,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_8,0.2989887284,0.01596944049,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0,0,0.2322830603,0.07652788323,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0.2479471512,0.04121012656,0,0,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0.3052765892,0.08199705555,0.3214243404,0.06341101474,0.9497618906,0.3165222525,1.052895478,0.350893052
thrust,40_999,hV2TwoSub_8,0,0,0,0,0,0,0,0
