axis,multiplicity_bin,quantity,lep1,lep1_err,lep2,lep2_err,lep2_over_lep1,lep2_over_lep1_err
thrust,0_10,hV2_2,0.3367215812,0.00159233347,0.4864955519,0.02614882662,1.444800628,0.07795709548
thrust,10_15,hV2_2,0.3647387118,0.0002727857157,0.4581661248,0.020855476,1.256148881,0.0571869399
thrust,15_20,hV2_2,0.3982904839,0.0004000346245,0.4556030601,0.01431898694,1.143896424,0.03596946823
thrust,20_25,hV2_2,0.4173429218,0.0003454270947,0.4515431299,0.008819975731,1.081947498,0.02115260603
thrust,25_30,hV2_2,0.4201123265,0.0005520710996,0.4428166284,0.004787975014,1.054043408,0.0114807544
thrust,30_35,hV2_2,0.4107354378,0.002262147369,0.4327466406,0.006382620983,1.053589734,0.01658756251
thrust,35_40,hV2_2,0.3990264888,0.008039780858,0.4193365753,0.006309387185,1.050899093,0.02642645052
thrust,40_999,hV2_2,0.424158447,0.02746746138,0.4165099869,0.0109379928,0.9819679176,0.06861969953
thrust,0_10,hV2_4,0,0,0,0,0,0
thrust,10_15,hV2_4,0,0,0,0,0,0
thrust,15_20,hV2_4,0,0,0,0,0,0
thrust,20_25,hV2_4,0.2846040598,0.001459517276,0,0,0,0
thrust,25_30,hV2_4,0.316496535,0.001548041567,0.2898332801,0.0058977569,0.9157549861,0.01916526521
thrust,30_35,hV2_4,0.316792498,0.003687838623,0.3048147946,0.01137865954,0.9621906973,0.03762432847
thrust,35_40,hV2_4,0.3035603555,0.0190413814,0.3225621395,0.01211768183,1.062596395,0.07769268147
thrust,40_999,hV2_4,0.3230767125,0.06341046335,0.3089955056,0.01128944132,0.9564152836,0.1909408972
thrust,0_10,hV2_6,0,0,0,0,0,0
thrust,10_15,hV2_6,0,0,0,0,0,0
thrust,15_20,hV2_6,0,0,0,0,0,0
thrust,20_25,hV2_6,0,0,0,0,0,0
thrust,25_30,hV2_6,0.2819289989,0.003658468759,0,0,0,0
thrust,30_35,hV2_6,0.3028368249,0.003426292973,0.2585023752,0.02513101917,0.8536028446,0.08354542596
thrust,35_40,hV2_6,0.2873102944,0.02430172006,0.3039027739,0.01139212358,1.057751079,0.09786101473
thrust,40_999,hV2_6,0,0,0.2417138924,0.08894714457,0,0
thrust,0_10,hV2_8,0.3510347834,0.007402411366,0,0,0,0
thrust,10_15,hV2_8,0,0,0.4071142569,0.02130413644,0,0
thrust,15_20,hV2_8,0,0,0.2873024215,0.1189383294,0,0
thrust,20_25,hV2_8,0,0,0,0,0,0
thrust,25_30,hV2_8,0.2458274446,0.01188775765,0,0,0,0
thrust,30_35,hV2_8,0.2990855258,0.003549264467,0,0,0,0
thrust,35_40,hV2_8,0.2846643852,0.02582112798,0.3003657526,0.01267143038,1.05515747,0.1055554293
thrust,40_999,hV2_8,0,0,0,0,0,0
