axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
thrust,0_10,hV2TwoSub_2,0.07735227914,0.003593345093,0.08057601198,0.003391329565,0.0720705798,0.006969311504,1.04167599,0.06529779086,0.9317188918,0.09995534325
thrust,10_15,hV2TwoSub_2,0.08896734391,0.0017748146,0.09224073837,0.001375005387,0.0959950313,0.001172436884,1.036793213,0.02581957957,1.078991763,0.02523860337
thrust,15_20,hV2TwoSub_2,0.1076943073,0.001046762289,0.1104480547,0.001230478114,0.1123822904,0.001001917603,1.025570037,0.01516286296,1.043530463,0.01376335354
thrust,20_25,hV2TwoSub_2,0.1107206721,0.001280609959,0.1147463226,0.001937103339,0.1165557085,0.001355019095,1.036358618,0.02120776618,1.052700515,0.01726325532
thrust,25_30,hV2TwoSub_2,0.1070558449,0.00293477956,0.1096161826,0.002831385384,0.1137645361,0.003313835373,1.023915907,0.03856631591,1.062665342,0.04250654342
thrust,30_35,hV2TwoSub_2,0.09789752837,0.00941930489,0.1049450081,0.008787824268,0.1076439929,0.0110828862,1.071988331,0.1367340634,1.09955782,0.1549479718
thrust,35_40,hV2TwoSub_2,0.1189669705,0.02509518501,0.07760223461,0.03599423983,0.1161835551,0.02732978028,0.6523006706,0.3323757939,0.9766034614,0.3085658337
thrust,40_999,hV2TwoSub_2,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_4,0.1358730044,0.07935112667,0,0,0.1595658957,0.04988234119,0,0,1.174375266,0.7779240019
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.1696869788,0.06924517628,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_4,0.2545774457,0.03488174948,0,0,0.3176004026,0.02258405278,0,0,1.247559075,0.1925869054
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2096910088,0.05929211719,0.2577948549,0.02334122771,0,0,0,0
thrust,15_20,hV2TwoSub_6,0.2158531435,0.03250853337,0.1726234047,0.07814865089,0,0,0.7997261561,0.3815538595,0,0
thrust,20_25,hV2TwoSub_6,0,0,0.204636118,0.05121751292,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0.2308793676,0.04220392773,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0,0,0.2840923906,0.02602581336,0,0,0,0
thrust,35_40,hV2TwoSub_6,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0,0,0.3562209845,0.06634369818,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3903658952,0.0202909475,0,0,0.3586322846,0.04675076578,0,0,0.9187080354,0.1289310612
thrust,10_15,hV2TwoSub_8,0,0,0.2853091281,0.04253838758,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0.2356448697,0.05054310266,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0,0,0.3385990949,0.02359812395,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
